"Date ","Winning Numbers ","Powerball® ","PowerPlay® "
" 8/11/2025 "," Powerball® Numbers 6 - 16 - 33 - 40 - 62 "," 2 "," 2 "," "
""," Double Play® Numbers 9 - 10 - 17 - 29 - 65 "," 5 "," --- "," "
" 8/9/2025 "," Powerball® Numbers 7 - 14 - 23 - 24 - 60 "," 14 "," 2 "," "
""," Double Play® Numbers 5 - 22 - 26 - 29 - 40 "," 6 "," --- "," "
" 8/6/2025 "," Powerball® Numbers 15 - 27 - 43 - 45 - 53 "," 9 "," 2 "," "
""," Double Play® Numbers 9 - 19 - 21 - 33 - 46 "," 23 "," --- "," "
" 8/4/2025 "," Powerball® Numbers 8 - 9 - 19 - 31 - 38 "," 21 "," 2 "," "
""," Double Play® Numbers 7 - 18 - 41 - 42 - 62 "," 3 "," --- "," "
" 8/2/2025 "," Powerball® Numbers 6 - 18 - 34 - 35 - 36 "," 2 "," 2 "," "
""," Double Play® Numbers 10 - 20 - 36 - 58 - 59 "," 5 "," --- "," "
" 7/30/2025 "," Powerball® Numbers 4 - 15 - 35 - 50 - 64 "," 8 "," 4 "," "
""," Double Play® Numbers 13 - 32 - 65 - 66 - 68 "," 7 "," --- "," "
" 7/28/2025 "," Powerball® Numbers 7 - 35 - 36 - 43 - 62 "," 3 "," 3 "," "
""," Double Play® Numbers 11 - 25 - 40 - 50 - 65 "," 21 "," --- "," "
" 7/26/2025 "," Powerball® Numbers 8 - 31 - 57 - 65 - 67 "," 23 "," 3 "," "
""," Double Play® Numbers 11 - 16 - 21 - 29 - 41 "," 1 "," --- "," "
" 7/23/2025 "," Powerball® Numbers 2 - 18 - 19 - 25 - 35 "," 25 "," 3 "," "
""," Double Play® Numbers 4 - 21 - 35 - 60 - 69 "," 23 "," --- "," "
" 7/21/2025 "," Powerball® Numbers 8 - 11 - 28 - 33 - 42 "," 2 "," 2 "," "
""," Double Play® Numbers 2 - 41 - 56 - 59 - 66 "," 6 "," --- "," "
" 7/19/2025 "," Powerball® Numbers 28 - 48 - 51 - 61 - 69 "," 20 "," 3 "," "
""," Double Play® Numbers 6 - 29 - 38 - 43 - 67 "," 16 "," --- "," "
" 7/16/2025 "," Powerball® Numbers 4 - 21 - 43 - 48 - 49 "," 22 "," 2 "," "
""," Double Play® Numbers 8 - 23 - 42 - 56 - 68 "," 10 "," --- "," "
